,MY portfolio,,,,,,,,,,,
S.no,STOCK NAME,,QTY,AVG PRICE,52WEEK LOW,52WEEK HIGH,LTP,AMOUNT INVESTED,Unrealized P&L,% P&L,today % P&L,TOTAL AMOUNT
1,Kotak Nifty Alpha 50 ETF (XNSE:ALPHA),ALPHA,15266,47.83, ? 42.00 , ? 53.60 , ? 48.11 ,730172.78,4274.48 ,0.59 ,-0.37%,
2,Nippon IN ETF Nifty Bank BeES (XNSE:BANKBEES),BANKBEES,1932,517.5295, ? 515.98 , ? 638.99 , ? 576.69 ,999866.994,114298.09 ,11.43 ,-0.53%,
3,GREAVES COTTON LIMITED (XNSE:GREAVESCOT),GREAVESCOT,1,282, ? 119.99 , ? 244.30 , ? 156.66 ,282,-125.34 ,-44.45 ,-0.44%,
4,ICICI Pru Nifty Healthcare ETF (XNSE:HEALTHIETF),HEALTHIETF,135,146.9111, ? 135.43 , ? 157.19 , ? 147.51 ,19832.9985,80.85 ,0.41 ,-0.18%,
5,HERO MOTOCORP LIMITED (XNSE:HEROMOTOCO),HEROMOTOCO,1,4940," ? 3,664.30 "," ? 6,388.50 "," ? 5,146.50 ",4940,206.50 ,4.18 ,-2.67%,
6,ICICI Prudential Nifty 50 ETF (XNSE:NIFTYIETF),NIFTYIETF,1045,287, ? 250.40 , ? 328.24 , ? 272.09 ,299915,-15580.95 ,-5.20 ,-0.44%,
9,KAYNES TECHNOLOGY INDIA LIMITED (XNSE:KAYNES),KAYNES,12,4454," ? 3,294.90 "," ? 7,705.00 "," ? 4,119.20 ",53448,-4017.60 ,-7.52 ,2.55%,
10,Zerodha Nifty 1D Rate Liq ETF (XNSE:LIQUIDCASE),LIQUIDCASE,1337,110.42, ? 102.00 , ? 113.64 , ? 113.64 ,147631.54,4305.14 ,2.92 ,0.02%,
11,ICICI Nifty200 Momentum 30 ETF (XNSE:MOM30IETF),MOM30IETF,4937,32.3731, ? 26.00 , ? 33.61 , ? 30.98 ,159825.9947,-6877.73 ,-4.30 ,-0.42%,
12,ICICI Pru Nifty Next 50 ETF (XNSE:NEXT50IETF),NEXT50IETF,8423,70.18, ? 62.60 , ? 76.55 , ? 72.42 ,591126.14,18867.52 ,3.19 ,0.33%,
13,NTPC LIMITED (XNSE:NTPC),NTPC,1,411.55, ? 315.55 , ? 397.25 , ? 389.30 ,411.55,-22.25 ,-5.41 ,-0.84%,
14,RELIANCE INDUSTRIES LIMITED (XNSE:RELIANCE),RELIANCE,2,1600," ? 1,227.60 "," ? 1,611.80 "," ? 1,333.90 ",3200,-532.20 ,-16.63 ,-0.76%,
15,MiraeAs NftSmC250 Mt Ql100 ETF (XNSE:SMALLCAP),SMALLCAP,5084,46.26, ? 37.34 , ? 54.50 , ? 42.94 ,235185.84,-16878.88 ,-7.18 ,0.56%,
16,TATA MOTORS LIMITED (XNSE:TMCV),TMCV,1,290.4582, ? 306.30 , ? 509.00 , ? 438.50 ,290.4582,148.04 ,50.97 ,0.76%,
17,TATA MOTORS PASSENGER VEHICLES LIMITED (XNSE:TMPV),TMPV,1,641.9918, ? 294.30 , ? 450.40 , ? 355.25 ,641.9918,-286.74 ,-44.66 ,-0.74%,
18,WAAREE ENERGIES LIMITED (XNSE:WAAREEENER),WAAREEENER,9,1503," ? 2,176.20 "," ? 3,865.00 "," ? 3,420.80 ",13527,17260.20 ,127.60 ,-0.15%,
,,,,,,,,3260298.287,115119.12 ,3.53%,,
,Mother portfolio,,,,,,,,,,,
1,Motilal Osw Nifty500 Mmt50 ETF (XNSE:MOMENTUM50),MOMENTUM50,6201,54.92, ? 44.96 , ? 56.90 , ? 50.99 ,340558.92,-24369.93 ,-7.16 ,-0.33%,
2,Kotak Nifty Alpha 50 ETF (XNSE:ALPHA),ALPHA,4467,49.12, ? 42.00 , ? 53.60 , ? 48.11 ,219419.04,-4511.67 ,-2.06 ,-0.37%,
3,MiraeAs NftSmC250 Mt Ql100 ETF (XNSE:SMALLCAP),SMALLCAP,2700,47.09, ? 37.34 , ? 54.50 , ? 42.94 ,127143,-11205.00 ,-8.81 ,0.56%,
4,Nippon India Nifty Pharma ETF (XNSE:PHARMABEES),PHARMABEES,2000,21.3, ? 20.59 , ? 26.52 , ? 23.01 ,42600,3420.00 ,8.03 ,-0.17%,
5,ICICI Nifty200 Momentum 30 ETF (XNSE:MOM30IETF),MOM30IETF,900,33.58, ? 26.00 , ? 33.61 , ? 30.98 ,30222,-2340.00 ,-7.74 ,-0.42%,
6,Nippon India ETF Nifty 50 BeES (XNSE:NIFTYBEES),NIFTYBEES,133,261.4, ? 251.70 , ? 302.25 , ? 273.35 ,34766.2,1589.35 ,4.57 ,-0.15%,
8,NipponETFNifty Next 50 Jr BeES (XNSE:JUNIORBEES),JUNIORBEES,10,617, ? 632.34 , ? 777.00 , ? 741.33 ,6170,1243.30 ,20.15 ,0.37%,
10,NTPC LIMITED (NSE:NTPC),NTPC,1,424, ? 315.55 , ? 397.20 , ? 389.30 ,424,-34.70 ,-8.18 ,-0.85%,
,,,,,,,,801303.16,-36208.65 ,-4.52%,,
11/11/2025,Wife portfolio,,,,,,,,,,,
1,POWER GRID CORPORATION OF INDIA LIMITED (XNSE:POWERGRID),POWERGRID,5,267.6, ? 250.00 , ? 322.00 , ? 311.55 ,1338,219.75 ,16.42 ,-0.29%,
2,Zerodha Nifty Midcap 150 ETF (XNSE:MID150CASE),MID150CASE,11080,11.05, ? 9.31 , ? 12.00 , ? 10.84 ,122434,-2326.80 ,-1.90 ,0.28%,
3,Anant Raj Limited (XNSE:ANANTRAJ),ANANTRAJ,100,500, ? 403.00 , ? 743.65 , ? 504.95 ,50000,495.00 ,0.99 ,0.32%,
4,Tata Gold ETF (XNSE:TATAGOLD),TATAGOLD,11945,16.99, ? 8.00 , ? 17.70 , ? 14.73 ,202945.55,-26995.70 ,-13.30 ,0.27%,
,,,,,,,,376717.55,-28607.75 ,-7.59%,,
,,,,,,,,,,,,
